	PC	ES1	EC	ES2	C	ES3
ppt_133513	0	0	0	0	383.9768016	0
ppt_26610	0	0	0	0	383.5884323	0
ppt_251257	0	0	0	0	383.2982204	0
ppt_239526	0	0	0	0	381.3662691	0
ppt_155948	0	0	0	0	380.4320793	0
ppt_152688	0	0	0	0	379.9132526	0
ppt_249696	0	0	0	0	378.2564841	0
ppt_194879	0	0	0	0	377.8139926	0
ppt_253734	0	0	0	0	374.8025693	0
ppt_203078	0	0	0	0	374.2207664	0
ppt_66073	0	0	0	0	374.1352118	0
ppt_159648	0	0	0	0	369.1801979	0
ppt_95855	0	0	0	0	367.9641225	0
ppt_133167	0	0	0	0	367.8221936	0
ppt_239412	0	0	0	0	367.7262258	0
ppt_242401	0	0	0	0	367.6339851	0
ppt_64205	0	0	0	0	365.9723284	0
ppt_110418	0	0	0	0	365.9328454	0
ppt_256833	0	0	0	0	363.8459045	0
ppt_121309	0	0	0	0	360.7619647	0
ppt_267529	0	0	0	0	359.7167296	0
ppt_146737	0	0	0	0	354.9568824	0
ppt_75088	0	0	0	0	353.4875528	0
ppt_90485	0	0	0	0	347.7564852	0
ppt_66526	0	0	0	0	343.4398835	0
ppt_142532	0	0	0	0	342.2821736	0
ppt_257895	0	0	0	0	342.0142665	0
ppt_112115	0	0	0	0	341.8555043	0
ppt_89366	0	0	0	0	339.9739586	0
ppt_135234	0	0	0	0	337.3561917	0
ppt_221921	0	0	0	0	336.8920359	0
ppt_75095	0	0	0	0	336.2691518	0
ppt_194925	0	0	0	0	335.7964972	0
ppt_252442	0	0	0	0	332.3150493	0
ppt_152521	0	0	0	0	331.6382633	0
ppt_171782	0	0	0	0	331.0296164	0
ppt_152642	0	0	0	0	330.5823225	0
ppt_173619	0	0	0	0	329.9671758	0
ppt_164046	0	0	0	0	328.6731478	0
ppt_161843	0	0	0	0	328.2413315	0
ppt_171599	0	0	0	0	327.5468054	0
ppt_113271	0	0	0	0	327.4429035	0
ppt_72163	0	0	0	0	326.799956	0
ppt_56512	0	0	0	0	326.129976	0
ppt_252315	0	0	0	0	325.975842	0
ppt_164818	0	0	0	0	325.4603436	0
ppt_146734	0	0	0	0	323.4372089	0
ppt_190068	0	0	0	0	323.4060413	0
ppt_88267	0	0	0	0	320.989349	0
ppt_213445	0	0	0	0	320.434918	0
ppt_204904	0	0	0	0	320.0698499	0
ppt_89252	0	0	0	0	319.2974566	0
ppt_149117	0	0	0	0	316.9597609	0
ppt_132777	0	0	0	0	315.7005777	0
ppt_124994	0	0	0	0	314.6533575	0
ppt_63903	0	0	0	0	310.2206358	0
ppt_240271	0	0	0	0	309.6204422	0
ppt_109715	0	0	0	0	308.1352497	0
ppt_41826	0	0	0	0	305.4641543	0
ppt_91924	0	0	0	0	304.1230272	0
ppt_136838	0	0	0	0	303.8900747	0
ppt_119076	0	0	0	0	303.6092488	0
ppt_142573	0	0	0	0	302.0573316	0
ppt_146735	0	0	0	0	301.0714735	0
ppt_89066	0	0	0	0	300.4287275	0
ppt_10330	0	0	0	0	296.7616594	0
ppt_252446	0	0	0	0	295.2107911	0
ppt_213121	0	0	0	0	293.7078215	0
ppt_49807	0	0	0	0	293.3605424	0
ppt_205291	0	0	0	0	293.2175339	0
ppt_241316	0	0	0	0	292.70475	0
ppt_63329	0	0	0	0	291.329298	0
ppt_89368	0	0	0	0	290.6265941	0
ppt_229504	0	0	0	0	290.2287196	0
ppt_205434	0	0	0	0	290.1507832	0
ppt_97470	0	0	0	0	286.2208009	0
ppt_218611	0	0	0	0	285.7577393	0
ppt_59627	0	0	0	0	284.0996943	0
ppt_143384	0	0	0	0	283.1747572	0
ppt_252850	0	0	0	0	282.6218906	0
ppt_241263	0	0	0	0	281.2974219	0
ppt_124356	0	0	0	0	280.7538452	0
ppt_107229	0	0	0	0	280.1455852	0
ppt_226791	0	0	0	0	279.138213	0
ppt_79346	0	0	0	0	278.2836119	0
ppt_128664	0	0	0	0	278.2066489	0
ppt_93002	0	0	0	0	277.5084741	0
ppt_162024	0	0	0	0	277.3664739	0
ppt_47799	0	0	0	0	276.9124419	0
ppt_252717	0	0	0	0	276.8785602	0
ppt_252896	0	0	0	0	275.8467464	0
ppt_79361	0	0	0	0	275.2937174	0
ppt_241313	0	0	0	0	274.9191148	0
ppt_161095	0	0	0	0	273.9422165	0
ppt_126673	0	0	0	0	273.7300587	0
ppt_36664	0	0	0	0	273.6452269	0
ppt_49276	0	0	0	0	273.3987147	0
ppt_191967	0	0	0	0	272.7550795	0
ppt_85099	0	0	0	0	272.6790131	0
ppt_132300	0	0	0	0	272.5029311	0
ppt_104040	0	0	0	0	272.4921274	0
ppt_202113	0	0	0	0	272.1348775	0
ppt_50047	0	0	0	0	271.0688922	0
